time_ms,x,y,z,yaw_deg,sp_x,sp_y,sp_z,sp_yaw_deg
2.31,-0.045491,0.016060,0.006057,0.0000,0.000000,0.000000,0.000000,0.0000
7.75,-0.045513,0.016243,0.006074,0.0000,0.000000,0.000000,0.000000,0.0000
13.09,-0.045513,0.016243,0.006074,0.0000,0.600000,0.000000,0.000000,0.0000
18.58,-0.045545,0.016394,0.006088,0.0000,0.600000,0.000000,0.000000,0.0000
23.98,-0.045545,0.016394,0.006088,0.0000,0.600000,0.000000,0.000000,0.0000
29.30,-0.045545,0.016562,0.006094,0.0000,0.600000,0.000000,0.000000,0.0000
34.63,-0.045632,0.016734,0.006133,0.0000,0.600000,0.000000,0.000000,0.0000
39.95,-0.045632,0.016734,0.006133,0.0000,0.600000,0.000000,0.000000,0.0000
45.30,-0.045669,0.016881,0.006118,0.0000,0.600000,0.000000,0.000000,0.0000
50.72,-0.045729,0.017049,0.006155,0.0000,0.600000,0.000000,0.000000,0.0000
56.05,-0.045729,0.017049,0.006155,0.0000,0.600000,0.000000,0.000000,0.0000
61.35,-0.045807,0.017217,0.006186,0.0000,0.600000,0.000000,0.000000,0.0000
66.67,-0.045866,0.017354,0.006202,0.0000,0.600000,0.000000,0.000000,0.0000
71.98,-0.045866,0.017354,0.006202,0.0000,0.600000,0.000000,0.000000,0.0000
77.56,-0.045872,0.017516,0.006220,0.0000,0.600000,0.000000,0.000000,0.0000
82.97,-0.045904,0.017682,0.006257,0.0000,0.600000,0.000000,0.000000,0.0000
88.30,-0.045904,0.017682,0.006257,0.0000,0.600000,0.000000,0.000000,0.0000
93.64,-0.045905,0.017826,0.006275,0.0000,0.600000,0.000000,0.000000,0.0000
98.96,-0.045905,0.017826,0.006275,0.0000,0.600000,0.000000,0.000000,0.0000
104.24,-0.045787,0.017980,0.006281,0.0000,0.600000,0.000000,0.000000,0.0000
109.56,-0.045796,0.018094,0.006307,0.0000,0.600000,0.000000,0.000000,0.0000
114.90,-0.045796,0.018094,0.006307,0.0000,0.600000,0.000000,0.000000,0.0000
120.41,-0.045719,0.018215,0.006294,0.0000,0.600000,0.000000,0.000000,0.0000
125.74,-0.045628,0.018302,0.006303,0.0000,0.600000,0.000000,0.000000,0.0000
131.16,-0.045628,0.018302,0.006303,0.0000,0.600000,0.000000,0.000000,0.0000
136.55,-0.045528,0.018412,0.006305,0.0000,0.600000,0.000000,0.000000,0.0000
141.91,-0.045408,0.018511,0.006321,0.0000,0.600000,0.000000,0.000000,0.0000
147.24,-0.045408,0.018511,0.006321,0.0000,0.600000,0.000000,0.000000,0.0000
152.71,-0.045230,0.018594,0.006293,0.0000,0.600000,0.000000,0.000000,0.0000
158.12,-0.044922,0.018770,0.006290,0.0000,0.600000,0.000000,0.000000,0.0000
163.61,-0.044922,0.018770,0.006290,0.0000,0.600000,0.000000,0.000000,0.0000
168.96,-0.044794,0.018831,0.006273,0.0000,0.600000,0.000000,0.000000,0.0000
174.59,-0.044550,0.018918,0.006279,0.0000,0.600000,0.000000,0.000000,0.0000
179.80,-0.044550,0.018918,0.006279,0.0000,0.600000,0.000000,0.000000,0.0000
185.16,-0.044307,0.018968,0.006303,0.0000,0.600000,0.000000,0.000000,0.0000
190.47,-0.044307,0.018968,0.006303,0.0000,0.600000,0.000000,0.000000,0.0000
195.82,-0.043947,0.019019,0.006282,0.0000,0.600000,0.000000,0.000000,0.0000
201.21,-0.043497,0.019144,0.006275,0.0000,0.600000,0.000000,0.000000,0.0000
206.66,-0.043497,0.019144,0.006275,0.0000,0.600000,0.000000,0.000000,0.0000
211.98,-0.043128,0.019196,0.006277,0.0000,0.600000,0.000000,0.000000,0.0000
217.30,-0.043128,0.019196,0.006277,0.0000,0.600000,0.000000,0.000000,0.0000
222.62,-0.042727,0.019226,0.006278,0.0000,0.600000,0.000000,0.000000,0.0000
227.95,-0.042140,0.019322,0.006259,0.0000,0.600000,0.000000,0.000000,0.0000
233.25,-0.041731,0.019363,0.006270,0.0000,0.600000,0.000000,0.000000,0.0000
238.60,-0.041731,0.019363,0.006270,0.0000,0.600000,0.000000,0.000000,0.0000
243.92,-0.041078,0.019475,0.006273,0.0000,0.600000,0.000000,0.000000,0.0000
249.44,-0.040516,0.019501,0.006275,0.0000,0.600000,0.000000,0.000000,0.0000
254.82,-0.040516,0.019501,0.006275,0.0000,0.600000,0.000000,0.000000,0.0000
260.19,-0.039900,0.019537,0.006238,0.0000,0.600000,0.000000,0.000000,0.0000
265.52,-0.039900,0.019537,0.006238,0.0000,0.600000,0.000000,0.000000,0.0000
270.84,-0.039123,0.019624,0.006211,0.0000,0.600000,0.000000,0.000000,0.0000
276.16,-0.038369,0.019692,0.006215,0.0000,0.600000,0.000000,0.000000,0.0000
281.18,-0.038369,0.019692,0.006215,0.0000,0.600000,0.000000,0.000000,0.0000
286.47,-0.037461,0.019723,0.006172,0.0000,0.600000,0.000000,0.000000,0.0000
291.82,-0.036566,0.019808,0.006170,0.0000,0.600000,0.000000,0.000000,0.0000
297.21,-0.036566,0.019808,0.006170,0.0000,0.600000,0.000000,0.000000,0.0000
302.74,-0.035703,0.019777,0.006094,0.0000,0.600000,0.000000,0.000000,0.0000
308.19,-0.034626,0.019803,0.006046,0.0000,0.600000,0.000000,0.000000,0.0000
313.48,-0.034626,0.019803,0.006046,0.0000,0.600000,0.000000,0.000000,0.0000
318.86,-0.033569,0.019857,0.006069,0.0000,0.600000,0.000000,0.000000,0.0000
324.19,-0.033569,0.019857,0.006069,0.0000,0.600000,0.000000,0.000000,0.0000
329.51,-0.032491,0.019958,0.006053,0.0000,0.600000,0.000000,0.000000,0.0000
334.85,-0.031279,0.019929,0.006050,0.0000,0.600000,0.000000,0.000000,0.0000
340.19,-0.031279,0.019929,0.006050,0.0000,0.600000,0.000000,0.000000,0.0000
345.52,-0.030111,0.019936,0.006051,0.0000,0.600000,0.000000,0.000000,0.0000
350.84,-0.028796,0.020041,0.006059,0.0000,0.600000,0.000000,0.000000,0.0000
356.18,-0.028796,0.020041,0.006059,0.0000,0.600000,0.000000,0.000000,0.0000
361.49,-0.027496,0.020049,0.006052,0.0000,0.600000,0.000000,0.000000,0.0000
366.81,-0.026067,0.020098,0.006070,0.0000,0.600000,0.000000,0.000000,0.0000
372.15,-0.026067,0.020098,0.006070,0.0000,0.600000,0.000000,0.000000,0.0000
377.47,-0.024687,0.020100,0.006034,0.0000,0.600000,0.000000,0.000000,0.0000
382.81,-0.023167,0.020087,0.006058,0.0000,0.600000,0.000000,0.000000,0.0000
388.20,-0.023167,0.020087,0.006058,0.0000,0.600000,0.000000,0.000000,0.0000
393.55,-0.021553,0.020074,0.006011,0.0000,0.600000,0.000000,0.000000,0.0000
398.89,-0.021553,0.020074,0.006011,0.0000,0.600000,0.000000,0.000000,0.0000
404.63,-0.020003,0.020089,0.006061,0.0000,0.600000,0.000000,0.000000,0.0000
410.04,-0.018281,0.020161,0.006045,0.0000,0.600000,0.000000,0.000000,0.0000
415.36,-0.018281,0.020161,0.006045,0.0000,0.600000,0.000000,0.000000,0.0000
420.69,-0.016626,0.020123,0.006057,0.0000,0.600000,0.000000,0.000000,0.0000
426.01,-0.014954,0.020192,0.006051,0.0000,0.600000,0.000000,0.000000,0.0000
431.30,-0.014954,0.020192,0.006051,0.0000,0.600000,0.000000,0.000000,0.0000
436.77,-0.013096,0.020178,0.006066,0.0000,0.600000,0.000000,0.000000,0.0000
442.18,-0.011324,0.020135,0.006113,0.0000,0.600000,0.000000,0.000000,0.0000
447.48,-0.011324,0.020135,0.006113,0.0000,0.600000,0.000000,0.000000,0.0000
452.80,-0.009418,0.020223,0.006183,0.0000,0.600000,0.000000,0.000000,0.0000
458.12,-0.007647,0.020132,0.006179,0.0000,0.600000,0.000000,0.000000,0.0000
463.43,-0.007647,0.020132,0.006179,0.0000,0.600000,0.000000,0.000000,0.0000
468.82,-0.005657,0.020188,0.006232,0.0000,0.600000,0.000000,0.000000,0.0000
474.15,-0.005657,0.020188,0.006232,0.0000,0.600000,0.000000,0.000000,0.0000
479.75,-0.003761,0.020141,0.006278,0.0000,0.600000,0.000000,0.000000,0.0000
485.09,-0.001774,0.020164,0.006324,0.0000,0.600000,0.000000,0.000000,0.0000
